from_region,to_region,v1_status,v4_status,v4_normal_fare,v4_priority_fare,v4_promoted,v4_source_name,v4_source_date,v4_source_url,v4_confidence,normal_path,priority_path,providers,jne2026_values
목포,영광,DIRECT_PROVIDER,DIRECT_PROVIDER,8700,8700,False,,,,,"[""목포"", ""영광""]","[""목포"", ""영광""]","[""tmoney""]",[8700]
목포,장성,TRANSFER_TRUSTED,TRANSFER_TRUSTED,9600,11700,False,,,,,"[""목포"", ""광주"", ""장성""]","[""목포"", ""광주"", ""장성""]","[""bustago"", ""kobus"", ""tmoney""]",[9600]
목포,완도,DIRECT_PROVIDER,DIRECT_PROVIDER,15700,15700,False,,,,,"[""목포"", ""완도""]","[""목포"", ""완도""]","[""bustago"", ""tmoney""]",[15700]
목포,진도,DIRECT_PROVIDER,DIRECT_PROVIDER,8300,10800,False,,,,,"[""목포"", ""진도""]","[""목포"", ""진도""]","[""bustago"", ""tmoney""]","[8300, 10800]"
목포,남악,DIRECT_PROVIDER,DIRECT_PROVIDER,1700,1700,False,,,,,"[""목포"", ""남악""]","[""목포"", ""남악""]","[""tmoney""]",[1700]
여수,광주,DIRECT_PROVIDER,DIRECT_PROVIDER,13000,16800,False,,,,,"[""여수"", ""광주""]","[""여수"", ""광주""]","[""tmoney""]","[13000, 16800]"
여수,목포,DIRECT_PROVIDER,DIRECT_PROVIDER,16500,21400,False,,,,,"[""여수"", ""목포""]","[""여수"", ""목포""]","[""bustago"", ""tmoney""]","[16500, 21400]"
여수,순천,DIRECT_PROVIDER,DIRECT_PROVIDER,5000,5000,False,,,,,"[""여수"", ""순천""]","[""여수"", ""순천""]","[""tmoney""]",[5000]
여수,나주,TRANSFER_TRUSTED,TRANSFER_TRUSTED,17300,23600,False,,,,,"[""여수"", ""광주"", ""나주""]","[""여수"", ""광주"", ""나주""]","[""bustago"", ""tmoney""]",[17300]
여수,광양,DIRECT_PROVIDER,DIRECT_PROVIDER,7500,7500,False,,,,,"[""여수"", ""광양""]","[""여수"", ""광양""]","[""tmoney""]",[7500]
여수,담양,TRANSFER_TRUSTED,TRANSFER_TRUSTED,15900,19700,False,,,,,"[""여수"", ""광주"", ""담양""]","[""여수"", ""광주"", ""담양""]","[""bustago"", ""tmoney""]",[15900]
여수,곡성,TRANSFER_TRUSTED,TRANSFER_TRUSTED,14500,14500,False,,,,,"[""여수"", ""구례"", ""곡성""]","[""여수"", ""구례"", ""곡성""]","[""tmoney""]",[18500]
여수,구례,DIRECT_PROVIDER,DIRECT_PROVIDER,10200,10200,False,,,,,"[""여수"", ""구례""]","[""여수"", ""구례""]","[""tmoney""]",[10200]
여수,고흥,DIRECT_PROVIDER,DIRECT_PROVIDER,13600,17700,False,,,,,"[""여수"", ""고흥""]","[""여수"", ""고흥""]","[""tmoney""]",[13600]
여수,보성,DIRECT_PROVIDER,DIRECT_PROVIDER,12800,12800,False,,,,,"[""여수"", ""보성""]","[""여수"", ""보성""]","[""tmoney""]",[12800]
여수,화순,TRANSFER_TRUSTED,TRANSFER_TRUSTED,15500,20000,False,,,,,"[""여수"", ""광주"", ""화순""]","[""여수"", ""광주"", ""화순""]","[""tmoney""]",[15500]
여수,장흥,DIRECT_PROVIDER,DIRECT_PROVIDER,16100,16100,False,,,,,"[""여수"", ""장흥""]","[""여수"", ""장흥""]","[""tmoney""]",[16100]
여수,강진,DIRECT_PROVIDER,DIRECT_PROVIDER,18500,18500,False,,,,,"[""여수"", ""강진""]","[""여수"", ""강진""]","[""tmoney""]",[18500]
여수,해남,DIRECT_PROVIDER,DIRECT_PROVIDER,21500,21500,False,,,,,"[""여수"", ""해남""]","[""여수"", ""해남""]","[""tmoney""]",[21500]
여수,영암,TRANSFER_TRUSTED,TRANSFER_TRUSTED,20700,20700,False,,,,,"[""여수"", ""장흥"", ""영암""]","[""여수"", ""장흥"", ""영암""]","[""bustago"", ""tmoney""]",[22400]
여수,무안,TRANSFER_TRUSTED,TRANSFER_TRUSTED,19000,23800,False,,,,,"[""여수"", ""광주"", ""무안""]","[""여수"", ""남악"", ""무안""]","[""tmoney""]",[19000]
여수,함평,TRANSFER_TRUSTED,TRANSFER_TRUSTED,17500,22600,False,,,,,"[""여수"", ""광주"", ""함평""]","[""여수"", ""광주"", ""함평""]","[""tmoney""]",[17500]
여수,영광,TRANSFER_TRUSTED,TRANSFER_TRUSTED,20300,26300,False,,,,,"[""여수"", ""광주"", ""영광""]","[""여수"", ""광주"", ""영광""]","[""tmoney""]",[20300]
여수,장성,TRANSFER_TRUSTED,TRANSFER_TRUSTED,15400,19200,False,,,,,"[""여수"", ""광주"", ""장성""]","[""여수"", ""광주"", ""장성""]","[""tmoney""]",[15400]
여수,완도,TRANSFER_TRUSTED,TRANSFER_TRUSTED,26400,26400,False,,,,,"[""여수"", ""강진"", ""완도""]","[""여수"", ""강진"", ""완도""]","[""tmoney""]",[28200]
여수,진도,TRANSFER_TRUSTED,TRANSFER_TRUSTED,23400,28700,False,,,,,"[""여수"", ""남악"", ""진도""]","[""여수"", ""보성"", ""진도""]","[""tmoney""]",[24800]
여수,남악,DIRECT_PROVIDER,DIRECT_PROVIDER,15600,20200,False,,,,,"[""여수"", ""남악""]","[""여수"", ""남악""]","[""tmoney""]","[15600, 20200]"
순천,광주,DIRECT_PROVIDER,DIRECT_PROVIDER,8400,11000,False,,,,,"[""순천"", ""광주""]","[""순천"", ""광주""]","[""tmoney""]","[8400, 11000]"
